Account.Balance,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Length.of.current.employment,Instalment.per.cent,Score_Creditworthy,Score_Non-Creditworthy
No Account,Some Problems,Home Related,931,< 1yr,1,0,1
No Account,Paid Up,Home Related,6560,1-4 yrs,3,0,1
No Account,Paid Up,Home Related,1275,< 1yr,4,0,1
No Account,Paid Up,Home Related,1282,< 1yr,4,0,1
No Account,Paid Up,Home Related,1381,< 1yr,4,0,1
No Account,Paid Up,Home Related,3051,< 1yr,3,0,1
No Account,Paid Up,Home Related,1444,< 1yr,4,0,1
No Account,Paid Up,Home Related,1498,< 1yr,4,0,1
No Account,Paid Up,Home Related,1514,< 1yr,4,0,1
No Account,No Problems (in this bank),Used car,6229,< 1yr,4,0,1
No Account,Paid Up,Home Related,1715,< 1yr,4,0,1
No Account,Some Problems,New car,9283,< 1yr,1,0,1
No Account,Paid Up,Home Related,3416,< 1yr,3,0,1
No Account,Paid Up,Home Related,1823,< 1yr,4,0,1
No Account,Paid Up,Home Related,1882,< 1yr,4,0,1
No Account,No Problems (in this bank),Home Related,6204,< 1yr,2,0,1
No Account,No Problems (in this bank),Home Related,8086,4-7 yrs,2,0,1
No Account,Paid Up,Home Related,1938,< 1yr,4,0,1
No Account,Paid Up,Home Related,1941,< 1yr,4,0,1
No Account,Paid Up,Home Related,2214,< 1yr,4,0,1
No Account,Paid Up,Home Related,5595,< 1yr,2,0,1
No Account,Paid Up,Home Related,2302,< 1yr,4,0,1
No Account,Paid Up,Home Related,3959,< 1yr,3,0,1
No Account,Paid Up,Home Related,9271,1-4 yrs,2,0,1
No Account,Some Problems,Used car,4110,4-7 yrs,3,0,1
No Account,Paid Up,Home Related,10961,1-4 yrs,1,0,1
No Account,No Problems (in this bank),Home Related,3394,< 1yr,4,0,1
No Account,Paid Up,Home Related,2384,< 1yr,4,0,1
No Account,Paid Up,Home Related,2389,< 1yr,4,0,1
No Account,Paid Up,Used car,7865,4-7 yrs,4,0,1
No Account,No Problems (in this bank),Home Related,8471,< 1yr,1,0,1
No Account,Paid Up,Home Related,2528,< 1yr,4,0,1
No Account,Paid Up,Home Related,5866,< 1yr,2,0,1
No Account,Paid Up,Home Related,2579,< 1yr,4,0,1
No Account,Paid Up,Home Related,2600,< 1yr,4,0,1
No Account,Paid Up,Home Related,2606,< 1yr,4,0,1
No Account,No Problems (in this bank),Home Related,3878,< 1yr,4,0,1
No Account,Some Problems,Used car,4583,< 1yr,2,0,1
No Account,Some Problems,Home Related,3104,1-4 yrs,3,0,1
No Account,Paid Up,Home Related,3123,< 1yr,4,0,1
No Account,Some Problems,Home Related,1264,< 1yr,2,0,1
No Account,Paid Up,Home Related,6568,< 1yr,2,0,1
No Account,Paid Up,New car,12976,< 1yr,3,0,1
No Account,No Problems (in this bank),Home Related,4712,< 1yr,4,0,1
No Account,No Problems (in this bank),Home Related,4746,< 1yr,4,0,1
No Account,Paid Up,Home Related,5381,< 1yr,3,0,1
No Account,Paid Up,Home Related,3915,< 1yr,4,0,1
No Account,No Problems (in this bank),Home Related,5234,< 1yr,4,0,1
No Account,Some Problems,Used car,2483,< 1yr,4,0,1
No Account,Some Problems,Home Related,1198,4-7 yrs,4,0,1
No Account,Some Problems,Used car,2969,< 1yr,4,0,1
No Account,Paid Up,Home Related,4795,< 1yr,4,0,1
No Account,Some Problems,Used car,3496,< 1yr,4,0,1
No Account,Some Problems,Used car,6872,< 1yr,2,0,1
No Account,Some Problems,Home Related,1953,4-7 yrs,4,0,1
No Account,Some Problems,Home Related,3844,1-4 yrs,4,0,1
No Account,Some Problems,Home Related,1940,< 1yr,3,0,1
No Account,Paid Up,Home Related,7763,4-7 yrs,4,0,1
No Account,Some Problems,Home Related,626,< 1yr,4,0,1
No Account,Some Problems,Home Related,2278,< 1yr,3,0,1
No Account,No Problems (in this bank),Used car,14179,1-4 yrs,4,0,1
No Account,Some Problems,Home Related,1048,< 1yr,4,0,1
No Account,Some Problems,Home Related,1082,< 1yr,4,0,1
No Account,Some Problems,Home Related,1647,< 1yr,4,0,1
No Account,Paid Up,Home Related,11998,< 1yr,1,0,1
No Account,Some Problems,Home Related,6850,< 1yr,1,0,1
No Account,Some Problems,Home Related,5293,< 1yr,2,0,1
No Account,Paid Up,Home Related,7408,< 1yr,4,0,1
No Account,Some Problems,Home Related,2149,< 1yr,4,0,1
No Account,Paid Up,Home Related,12389,< 1yr,1,0,1
No Account,Some Problems,Home Related,3990,< 1yr,3,0,1
No Account,Paid Up,Home Related,11328,< 1yr,2,0,1
No Account,Some Problems,Home Related,8318,4-7 yrs,2,0,1
No Account,Some Problems,Home Related,8358,< 1yr,1,0,1
No Account,Some Problems,Home Related,6416,4-7 yrs,4,0,1
No Account,Some Problems,Home Related,8072,< 1yr,2,0,1
No Account,Some Problems,Home Related,6199,< 1yr,4,0,1
No Account,Paid Up,Home Related,15857,< 1yr,2,0,1
No Account,Some Problems,Home Related,14421,< 1yr,2,0,1
No Account,Some Problems,Home Related,14782,4-7 yrs,3,0,1
No Account,Some Problems,Home Related,15945,< 1yr,3,0,1
